mlb_id,player_name,role,team,age,war,war_off,war_def,pa,games,ops_plus,runs_bat,runs_field,games_started,ip,era_plus
665487,Fernando Tatis Jr.,hitter,SDP,27.0,4.03,4.39,-0.58,683.0,154,129.6,25.31,-3.0,,,
665489,Vladimir Guerrero Jr.,hitter,TOR,27.0,1.31,0.24,0.3,596.0,141,92.358,-6.52,9.0,,,
665506,Cristian Pache,hitter,NYM,27.0,-0.08,-0.19,0.04,8.0,14,-29.425,-1.36,0.0,,,
665561,Rafael Marchán,hitter,PHI,27.0,-0.71,-1.01,0.49,95.0,34,-19.496,-13.88,-1.0,,,
665742,Juan Soto,hitter,NYM,27.0,2.85,3.5,-1.21,453.0,105,152.445,24.96,-4.0,,,
665750,Leody Taveras,hitter,BAL,27.0,-0.09,0.41,-0.5,474.0,137,77.884,-12.2,-1.0,,,
665804,Miguel Amaya,hitter,CHC,27.0,1.23,1.16,0.44,243.0,80,95.925,1.31,0.0,,,
665828,Oswaldo Cabrera,hitter,CIN,27.0,-0.33,-0.33,0.01,14.0,4,-100.0,-3.67,0.0,,,
665833,Oneil Cruz,hitter,PIT,27.0,2.73,3.37,-0.45,406.0,93,130.071,16.62,-6.0,,,
665856,Jair Camargo,hitter,ATL,26.0,0.06,0.06,0.0,2.0,1,300.198,0.5,0.0,,,
665861,Sebastián Rivero,hitter,LAA,27.0,0.09,-0.01,0.23,57.0,24,64.96,-2.48,1.0,,,
665862,Jazz Chisholm Jr.,hitter,NYY,28.0,1.5,2.31,-0.37,520.0,134,98.25,-3.78,-5.0,,,
665877,José Fermín,hitter,STL,27.0,0.42,1.17,-0.71,358.0,113,93.447,-0.61,0.0,,,
665923,Esteury Ruiz,hitter,MIA,27.0,0.23,1.07,-1.13,237.0,104,104.88,3.08,-5.0,,,
665926,Andrés Giménez,hitter,TOR,27.0,0.89,0.76,0.94,496.0,144,76.662,-17.88,1.0,,,
665953,Andrés Chaparro,hitter,WSN,27.0,0.89,1.31,-0.91,213.0,79,136.64,11.14,-2.0,,,
665966,Carlos Narváez,hitter,BAL,27.0,-0.87,-0.57,0.3,277.0,93,36.531,-19.12,-2.0,,,
666018,Jonathan Aranda,hitter,TBR,28.0,2.16,2.86,-1.45,648.0,149,123.484,17.42,-8.0,,,
666023,Freddy Fermin,hitter,SDP,31.0,0.78,0.08,1.23,260.0,94,60.925,-11.05,0.0,,,
666126,Carlos Cortes,hitter,OAK,29.0,-1.04,-0.13,-1.49,366.0,118,95.578,-3.36,-7.0,,,
666139,Josh Lowe,hitter,LAA,28.0,0.14,0.23,-0.39,328.0,109,81.645,-7.84,-1.0,,,
666152,David Hamilton,hitter,MIL,28.0,1.64,0.93,1.13,370.0,116,76.95,-11.12,4.0,,,
666160,Mickey Moniak,hitter,COL,28.0,0.13,0.06,-0.49,426.0,113,95.213,-5.88,2.0,,,
666163,Ben Rortvedt,hitter,LAD,28.0,-0.12,-0.22,0.17,28.0,16,2.787,-3.65,0.0,,,
666176,Jo Adell,hitter,CLE,27.0,0.22,1.13,-1.53,633.0,153,97.781,-0.66,-8.0,,,
666181,Will Benson,hitter,CIN,28.0,-0.2,0.02,-0.36,114.0,51,79.982,-2.91,2.0,,,
